D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_Fire_loop.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_magin1.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_magout1.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_boltback1.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_boltrelease1.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_Fire_loop_3rd.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_fire_single_3rd.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_fire_loop_tail_3rd.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_Fire_loop_silenced_3rd.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_Fire_single_silenced_3rd.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_fire_loop_tail_silenced_3rd.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_fire_single.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_fire_loop_tail.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_Fire_loop_silenced.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_Fire_single_silenced.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\media\sounds\crysis\gunsounds\hkump45\Hkump45_fire_loop_tail_silenced.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
