D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\fire_single.WAV, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\fire_rapid.WAV, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\spin_down.WAV, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\select.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\reload_chamberempty.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\reload_chamber_full.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\switch_firemode.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\raise.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\m4a1_sil.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\m4a1_sil_rapid.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\spin_down_silenced.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\Grenade_Launcher.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\reload_grenade_launcher.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Electronic Arts\Crytec\Crysis\Game\Sounds\M4A1\melee.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
