C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_one_fp.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_one_tp.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_30_fp.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_30_tp.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_silencer.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_reloadfull.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_silencer_30.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_reloadempty.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_melee.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_select.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_zoom.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_gprel.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
C:\Games\Crysis\Game\Sounds\Weapons\M4A1\M4A1_gpshot.wav, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
