D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\vintorez_shoot.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\vintorez_shoot2.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\tm_val_shot_0.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_hw3d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\tm_val_shot_1.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_hw3d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\tm_val_shot_2.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_hw3d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\tm_val_shot_3.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_hw3d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\vintorez_clipin.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\vintorez_clipout.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\vintorez_cockfwd.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\vintorez_cockback.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\n_val_shot.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\gen_empty.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\tm_val_shot_0_low.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_hw3d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\tm_val_shot_1_low.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_hw3d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\tm_val_shot_2_low.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_hw3d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\tm_val_shot_3_low.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_hw3d
D:\Games\Crysis\Mods\rolw\Game\Sounds\vintorez\vintorez_reload.ogg, mindistance=1, maxdistance=10000, defvol=255, defpan=128, defpri=128, varfreq=0, varvol=0, varpan=0, fsound_2d
